Human Gene ID,Mouse Gene ID
ENSG00000111012,ENSMUSG00000006724
ENSG00000018625,ENSMUSG00000007097
ENSG00000112039,ENSMUSG00000007570
ENSG00000173991,ENSMUSG00000007877
ENSG00000165462,ENSMUSG00000007946
ENSG00000105618,ENSMUSG00000008373
ENSG00000174951,ENSMUSG00000008461
ENSG00000186575,ENSMUSG00000009073
ENSG00000134183,ENSMUSG00000009108
ENSG00000005381,ENSMUSG00000009350
ENSG00000105976,ENSMUSG00000009376
ENSG00000053918,ENSMUSG00000009545
ENSG00000117118,ENSMUSG00000009863
ENSG00000102125,ENSMUSG00000009995
ENSG00000072210,ENSMUSG00000010025
ENSG00000112319,ENSMUSG00000010461
ENSG00000143801,ENSMUSG00000010609
ENSG00000110435,ENSMUSG00000010914
ENSG00000109132,ENSMUSG00000012520
ENSG00000111245,ENSMUSG00000013936
ENSG00000153208,ENSMUSG00000014361
ENSG00000108556,ENSMUSG00000014609
ENSG00000112592,ENSMUSG00000014767
ENSG00000141012,ENSMUSG00000015027
ENSG00000004864,ENSMUSG00000015112
ENSG00000165168,ENSMUSG00000015340
ENSG00000047597,ENSMUSG00000015342
ENSG00000164171,ENSMUSG00000015533
ENSG00000164172,ENSMUSG00000015536
ENSG00000175445,ENSMUSG00000015568
ENSG00000183072,ENSMUSG00000015579
ENSG00000107485,ENSMUSG00000015619
ENSG00000117360,ENSMUSG00000015748
ENSG00000151552,ENSMUSG00000015806
ENSG00000147437,ENSMUSG00000015812
ENSG00000075043,ENSMUSG00000016346
ENSG00000184937,ENSMUSG00000016458
ENSG00000005893,ENSMUSG00000016534
ENSG00000012048,ENSMUSG00000017146
ENSG00000182389,ENSMUSG00000017412
ENSG00000064601,ENSMUSG00000017760
ENSG00000100243,ENSMUSG00000018042
ENSG00000089225,ENSMUSG00000018263
ENSG00000186868,ENSMUSG00000018411
ENSG00000108395,ENSMUSG00000018548
ENSG00000072778,ENSMUSG00000018574
ENSG00000135111,ENSMUSG00000018604
ENSG00000108733,ENSMUSG00000018733
ENSG00000125347,ENSMUSG00000018899
ENSG00000083444,ENSMUSG00000019055
ENSG00000105711,ENSMUSG00000019194
ENSG00000143669,ENSMUSG00000019726
ENSG00000186395,ENSMUSG00000019761
ENSG00000034693,ENSMUSG00000019809
ENSG00000139330,ENSMUSG00000019932
ENSG00000007168,ENSMUSG00000019952
ENSG00000118520,ENSMUSG00000019987
ENSG00000112357,ENSMUSG00000020003
ENSG00000084110,ENSMUSG00000020017
ENSG00000100234,ENSMUSG00000020044
ENSG00000171759,ENSMUSG00000020051
ENSG00000017427,ENSMUSG00000020053
ENSG00000130005,ENSMUSG00000020150
ENSG00000142173,ENSMUSG00000020241
ENSG00000162928,ENSMUSG00000020283
ENSG00000170624,ENSMUSG00000020354
ENSG00000037280,ENSMUSG00000020357
ENSG00000152700,ENSMUSG00000020386
ENSG00000185339,ENSMUSG00000020432
ENSG00000105953,ENSMUSG00000020456
ENSG00000115380,ENSMUSG00000020467
ENSG00000164708,ENSMUSG00000020475
ENSG00000132142,ENSMUSG00000020532
ENSG00000132031,ENSMUSG00000020583
ENSG00000084674,ENSMUSG00000020609
ENSG00000108946,ENSMUSG00000020612
ENSG00000091137,ENSMUSG00000020651
ENSG00000115138,ENSMUSG00000020660
ENSG00000091140,ENSMUSG00000020664
ENSG00000115705,ENSMUSG00000020673
ENSG00000108753,ENSMUSG00000020679
ENSG00000056345,ENSMUSG00000020689
ENSG00000125454,ENSMUSG00000020744
ENSG00000132470,ENSMUSG00000020758
ENSG00000108479,ENSMUSG00000020766
ENSG00000108381,ENSMUSG00000020774
ENSG00000161533,ENSMUSG00000020777
ENSG00000174231,ENSMUSG00000020850
ENSG00000132518,ENSMUSG00000020890
ENSG00000187242,ENSMUSG00000020912
ENSG00000131095,ENSMUSG00000020932
ENSG00000100473,ENSMUSG00000020953
ENSG00000165409,ENSMUSG00000020963
ENSG00000054983,ENSMUSG00000021003
ENSG00000165533,ENSMUSG00000021013
ENSG00000100577,ENSMUSG00000021033
ENSG00000070182,ENSMUSG00000021061
ENSG00000100504,ENSMUSG00000021069
ENSG00000042088,ENSMUSG00000021177
ENSG00000140092,ENSMUSG00000021186
ENSG00000119711,ENSMUSG00000021238
ENSG00000119655,ENSMUSG00000021242
ENSG00000119684,ENSMUSG00000021245
ENSG00000166126,ENSMUSG00000021278
ENSG00000116984,ENSMUSG00000021311
ENSG00000137364,ENSMUSG00000021376
ENSG00000148090,ENSMUSG00000021460
ENSG00000158169,ENSMUSG00000021461
ENSG00000169071,ENSMUSG00000021464
ENSG00000090054,ENSMUSG00000021468
ENSG00000120149,ENSMUSG00000021469
ENSG00000165671,ENSMUSG00000021488
ENSG00000131187,ENSMUSG00000021492
ENSG00000027847,ENSMUSG00000021504
ENSG00000145715,ENSMUSG00000021549
ENSG00000175426,ENSMUSG00000021587
ENSG00000131844,ENSMUSG00000021646
ENSG00000049860,ENSMUSG00000021665
ENSG00000164252,ENSMUSG00000021681
ENSG00000132842,ENSMUSG00000021686
ENSG00000049167,ENSMUSG00000021694
ENSG00000163635,ENSMUSG00000021738
ENSG00000134363,ENSMUSG00000021765
ENSG00000151090,ENSMUSG00000021779
ENSG00000107779,ENSMUSG00000021796
ENSG00000148604,ENSMUSG00000021804
ENSG00000169814,ENSMUSG00000021900
ENSG00000070748,ENSMUSG00000021919
ENSG00000104725,ENSMUSG00000022055
ENSG00000168453,ENSMUSG00000022096
ENSG00000168484,ENSMUSG00000022097
ENSG00000136156,ENSMUSG00000022108
ENSG00000136160,ENSMUSG00000022122
ENSG00000102805,ENSMUSG00000022125
ENSG00000168621,ENSMUSG00000022144
ENSG00000113600,ENSMUSG00000022149
ENSG00000039537,ENSMUSG00000022181
ENSG00000083720,ENSMUSG00000022186
ENSG00000100836,ENSMUSG00000022198
ENSG00000092295,ENSMUSG00000022218
ENSG00000164175,ENSMUSG00000022243
ENSG00000082196,ENSMUSG00000022244
ENSG00000039139,ENSMUSG00000022262
ENSG00000154122,ENSMUSG00000022265
ENSG00000083307,ENSMUSG00000022286
ENSG00000147647,ENSMUSG00000022304
ENSG00000169946,ENSMUSG00000022306
ENSG00000100345,ENSMUSG00000022443
ENSG00000111424,ENSMUSG00000022479
ENSG00000139219,ENSMUSG00000022483
ENSG00000073282,ENSMUSG00000022510
ENSG00000005339,ENSMUSG00000022521
ENSG00000103313,ENSMUSG00000022534
ENSG00000175595,ENSMUSG00000022545
ENSG00000126233,ENSMUSG00000022596
ENSG00000025708,ENSMUSG00000022615
ENSG00000100299,ENSMUSG00000022620
ENSG00000139116,ENSMUSG00000022629
ENSG00000114480,ENSMUSG00000022707
ENSG00000140650,ENSMUSG00000022711
ENSG00000080819,ENSMUSG00000022742
ENSG00000099937,ENSMUSG00000022766
ENSG00000114491,ENSMUSG00000022814
ENSG00000113924,ENSMUSG00000022821
ENSG00000114859,ENSMUSG00000022843
ENSG00000090534,ENSMUSG00000022847
ENSG00000154646,ENSMUSG00000022857
ENSG00000181092,ENSMUSG00000022878
ENSG00000142192,ENSMUSG00000022892
ENSG00000142168,ENSMUSG00000022982
ENSG00000139549,ENSMUSG00000023000
ENSG00000135409,ENSMUSG00000023047
ENSG00000125255,ENSMUSG00000023073
ENSG00000172270,ENSMUSG00000023175
ENSG00000166947,ENSMUSG00000023216
ENSG00000149131,ENSMUSG00000023224
ENSG00000010610,ENSMUSG00000023274
ENSG00000111669,ENSMUSG00000023456
ENSG00000185345,ENSMUSG00000023826
ENSG00000146070,ENSMUSG00000023913
ENSG00000146085,ENSMUSG00000023921
ENSG00000112077,ENSMUSG00000023926
ENSG00000170734,ENSMUSG00000023953
ENSG00000112619,ENSMUSG00000023978
ENSG00000048545,ENSMUSG00000023982
ENSG00000124767,ENSMUSG00000024026
ENSG00000160183,ENSMUSG00000024034
ENSG00000160200,ENSMUSG00000024039
ENSG00000160202,ENSMUSG00000024041
ENSG00000158125,ENSMUSG00000024066
ENSG00000021574,ENSMUSG00000024068
ENSG00000138039,ENSMUSG00000024107
ENSG00000138079,ENSMUSG00000024131
ENSG00000095002,ENSMUSG00000024151
ENSG00000063854,ENSMUSG00000024158
ENSG00000143921,ENSMUSG00000024254
ENSG00000166278,ENSMUSG00000024371
ENSG00000163161,ENSMUSG00000024382
ENSG00000115718,ENSMUSG00000024386
ENSG00000141458,ENSMUSG00000024413
ENSG00000053747,ENSMUSG00000024421
ENSG00000131504,ENSMUSG00000024456
ENSG00000120729,ENSMUSG00000024471
ENSG00000091010,ENSMUSG00000024497
ENSG00000156475,ENSMUSG00000024500
ENSG00000164266,ENSMUSG00000024503
ENSG00000141646,ENSMUSG00000024515
ENSG00000134438,ENSMUSG00000024518
ENSG00000132915,ENSMUSG00000024575
ENSG00000066926,ENSMUSG00000024588
ENSG00000138829,ENSMUSG00000024598
ENSG00000070814,ENSMUSG00000024613
ENSG00000156873,ENSMUSG00000024617
ENSG00000166347,ENSMUSG00000024646
ENSG00000134812,ENSMUSG00000024682
ENSG00000119121,ENSMUSG00000024727
ENSG00000026103,ENSMUSG00000024778
ENSG00000107798,ENSMUSG00000024781
ENSG00000132740,ENSMUSG00000024831
ENSG00000173599,ENSMUSG00000024892
ENSG00000110090,ENSMUSG00000024900
ENSG00000133895,ENSMUSG00000024947
ENSG00000138207,ENSMUSG00000024990
ENSG00000059573,ENSMUSG00000025007
ENSG00000169297,ENSMUSG00000025056
ENSG00000065618,ENSMUSG00000025064
ENSG00000023839,ENSMUSG00000025194
ENSG00000107815,ENSMUSG00000025209
ENSG00000107859,ENSMUSG00000025229
ENSG00000140463,ENSMUSG00000025235
ENSG00000072506,ENSMUSG00000025260
ENSG00000102302,ENSMUSG00000025265
ENSG00000158578,ENSMUSG00000025270
ENSG00000136068,ENSMUSG00000025278
ENSG00000154118,ENSMUSG00000025318
ENSG00000114062,ENSMUSG00000025326
ENSG00000101850,ENSMUSG00000025333
ENSG00000126524,ENSMUSG00000025337
ENSG00000135424,ENSMUSG00000025348
ENSG00000135437,ENSMUSG00000025350
ENSG00000186765,ENSMUSG00000025380
ENSG00000135517,ENSMUSG00000025389
ENSG00000166866,ENSMUSG00000025401
ENSG00000162399,ENSMUSG00000025418
ENSG00000102466,ENSMUSG00000025551
ENSG00000141524,ENSMUSG00000025572
ENSG00000171298,ENSMUSG00000025579
ENSG00000156531,ENSMUSG00000025626
ENSG00000165704,ENSMUSG00000025630
ENSG00000084754,ENSMUSG00000025745
ENSG00000104381,ENSMUSG00000025777
ENSG00000145335,ENSMUSG00000025889
ENSG00000104237,ENSMUSG00000025900
ENSG00000008196,ENSMUSG00000025927
ENSG00000104313,ENSMUSG00000025932
ENSG00000021826,ENSMUSG00000025991
ENSG00000138449,ENSMUSG00000025993
ENSG00000115361,ENSMUSG00000026003
ENSG00000003393,ENSMUSG00000026024
ENSG00000168542,ENSMUSG00000026043
ENSG00000134899,ENSMUSG00000026048
ENSG00000115415,ENSMUSG00000026104
ENSG00000112280,ENSMUSG00000026147
ENSG00000135929,ENSMUSG00000026170
ENSG00000074582,ENSMUSG00000026172
ENSG00000115414,ENSMUSG00000026193
ENSG00000172482,ENSMUSG00000026272
ENSG00000141655,ENSMUSG00000026321
ENSG00000115850,ENSMUSG00000026354
ENSG00000134371,ENSMUSG00000026361
ENSG00000143278,ENSMUSG00000026368
ENSG00000081248,ENSMUSG00000026407
ENSG00000081277,ENSMUSG00000026413
ENSG00000118194,ENSMUSG00000026414
ENSG00000121454,ENSMUSG00000026468
ENSG00000058085,ENSMUSG00000026479
ENSG00000116701,ENSMUSG00000026480
ENSG00000091483,ENSMUSG00000026526
ENSG00000163554,ENSMUSG00000026532
ENSG00000143178,ENSMUSG00000026572
ENSG00000174175,ENSMUSG00000026580
ENSG00000116218,ENSMUSG00000026602
ENSG00000042781,ENSMUSG00000026609
ENSG00000117595,ENSMUSG00000026638
ENSG00000152457,ENSMUSG00000026648
ENSG00000107537,ENSMUSG00000026664
ENSG00000007933,ENSMUSG00000026691
ENSG00000034971,ENSMUSG00000026697
ENSG00000117601,ENSMUSG00000026715
ENSG00000107611,ENSMUSG00000026726
ENSG00000165699,ENSMUSG00000026812
ENSG00000106991,ENSMUSG00000026814
ENSG00000106992,ENSMUSG00000026817
ENSG00000130635,ENSMUSG00000026837
ENSG00000097007,ENSMUSG00000026842
ENSG00000136827,ENSMUSG00000026849
ENSG00000169554,ENSMUSG00000026872
ENSG00000106804,ENSMUSG00000026874
ENSG00000148180,ENSMUSG00000026879
ENSG00000169692,ENSMUSG00000026922
ENSG00000125618,ENSMUSG00000026976
ENSG00000073734,ENSMUSG00000027048
ENSG00000138435,ENSMUSG00000027107
ENSG00000091409,ENSMUSG00000027111
ENSG00000131808,ENSMUSG00000027120
ENSG00000140199,ENSMUSG00000027130
ENSG00000007372,ENSMUSG00000027168
ENSG00000151348,ENSMUSG00000027198
ENSG00000171766,ENSMUSG00000027199
ENSG00000074803,ENSMUSG00000027202
ENSG00000166147,ENSMUSG00000027204
ENSG00000121680,ENSMUSG00000027222
ENSG00000125863,ENSMUSG00000027274
ENSG00000101384,ENSMUSG00000027276
ENSG00000128928,ENSMUSG00000027332
ENSG00000101311,ENSMUSG00000027356
ENSG00000144061,ENSMUSG00000027378
ENSG00000088305,ENSMUSG00000027478
ENSG00000124253,ENSMUSG00000027513
ENSG00000124205,ENSMUSG00000027524
ENSG00000104267,ENSMUSG00000027562
ENSG00000101204,ENSMUSG00000027577
ENSG00000100983,ENSMUSG00000027610
ENSG00000163755,ENSMUSG00000027615
ENSG00000118702,ENSMUSG00000027643
ENSG00000078070,ENSMUSG00000027709
ENSG00000171503,ENSMUSG00000027809
ENSG00000163536,ENSMUSG00000027834
ENSG00000134200,ENSMUSG00000027857
ENSG00000118729,ENSMUSG00000027861
ENSG00000134240,ENSMUSG00000027875
ENSG00000160716,ENSMUSG00000027950
ENSG00000060718,ENSMUSG00000027966
ENSG00000164099,ENSMUSG00000027978
ENSG00000121207,ENSMUSG00000028003
ENSG00000164093,ENSMUSG00000028023
ENSG00000160789,ENSMUSG00000028063
ENSG00000143387,ENSMUSG00000028111
ENSG00000023909,ENSMUSG00000028124
ENSG00000117528,ENSMUSG00000028127
ENSG00000138823,ENSMUSG00000028158
ENSG00000109323,ENSMUSG00000028164
ENSG00000116761,ENSMUSG00000028179
ENSG00000104325,ENSMUSG00000028223
ENSG00000104320,ENSMUSG00000028224
ENSG00000136872,ENSMUSG00000028307
ENSG00000136936,ENSMUSG00000028329
ENSG00000119509,ENSMUSG00000028344
ENSG00000148218,ENSMUSG00000028393
ENSG00000137074,ENSMUSG00000028411
ENSG00000106692,ENSMUSG00000028414
ENSG00000070061,ENSMUSG00000028431
ENSG00000165280,ENSMUSG00000028452
ENSG00000159921,ENSMUSG00000028479
ENSG00000157184,ENSMUSG00000028607
ENSG00000049089,ENSMUSG00000028626
ENSG00000117013,ENSMUSG00000028631
ENSG00000117394,ENSMUSG00000028645
ENSG00000131238,ENSMUSG00000028657
ENSG00000117308,ENSMUSG00000028671
ENSG00000117305,ENSMUSG00000028672
ENSG00000085998,ENSMUSG00000028700
ENSG00000158828,ENSMUSG00000028756
ENSG00000142798,ENSMUSG00000028763
ENSG00000162551,ENSMUSG00000028766
ENSG00000119535,ENSMUSG00000028859
ENSG00000159023,ENSMUSG00000028906
ENSG00000106617,ENSMUSG00000028944
ENSG00000116288,ENSMUSG00000028964
ENSG00000116688,ENSMUSG00000029020
ENSG00000157911,ENSMUSG00000029047
ENSG00000007062,ENSMUSG00000029086
ENSG00000072840,ENSMUSG00000029122
ENSG00000163069,ENSMUSG00000029156
ENSG00000138030,ENSMUSG00000029162
ENSG00000154277,ENSMUSG00000029223
ENSG00000109163,ENSMUSG00000029255
ENSG00000162676,ENSMUSG00000029275
ENSG00000132464,ENSMUSG00000029286
ENSG00000163297,ENSMUSG00000029338
ENSG00000100122,ENSMUSG00000029343
ENSG00000163631,ENSMUSG00000029368
ENSG00000158104,ENSMUSG00000029445
ENSG00000174437,ENSMUSG00000029467
ENSG00000133256,ENSMUSG00000029491
ENSG00000177192,ENSMUSG00000029507
ENSG00000122971,ENSMUSG00000029545
ENSG00000135100,ENSMUSG00000029556
ENSG00000128573,ENSMUSG00000029563
ENSG00000139515,ENSMUSG00000029644
ENSG00000021852,ENSMUSG00000029656
ENSG00000164692,ENSMUSG00000029661
ENSG00000049540,ENSMUSG00000029675
ENSG00000008311,ENSMUSG00000029695
ENSG00000106327,ENSMUSG00000029716
ENSG00000105928,ENSMUSG00000029821
ENSG00000115275,ENSMUSG00000030036
ENSG00000169704,ENSMUSG00000030054
ENSG00000169714,ENSMUSG00000030057
ENSG00000154767,ENSMUSG00000030094
ENSG00000144455,ENSMUSG00000030101
ENSG00000183785,ENSMUSG00000030137
ENSG00000111341,ENSMUSG00000030218
ENSG00000111713,ENSMUSG00000030244
ENSG00000069431,ENSMUSG00000030249
ENSG00000163914,ENSMUSG00000030324
ENSG00000111319,ENSMUSG00000030340
ENSG00000067182,ENSMUSG00000030341
ENSG00000104884,ENSMUSG00000030400
ENSG00000104936,ENSMUSG00000030409
ENSG00000104044,ENSMUSG00000030450
ENSG00000021488,ENSMUSG00000030492
ENSG00000184056,ENSMUSG00000030534
ENSG00000068305,ENSMUSG00000030557
ENSG00000109861,ENSMUSG00000030560
ENSG00000011600,ENSMUSG00000030579
ENSG00000103876,ENSMUSG00000030630
ENSG00000105357,ENSMUSG00000030739
ENSG00000137474,ENSMUSG00000030761
ENSG00000091262,ENSMUSG00000030834
ENSG00000166340,ENSMUSG00000030894
ENSG00000103316,ENSMUSG00000030905
ENSG00000065154,ENSMUSG00000030934
ENSG00000102245,ENSMUSG00000031132
ENSG00000129675,ENSMUSG00000031133
ENSG00000101981,ENSMUSG00000031138
ENSG00000102001,ENSMUSG00000031142
ENSG00000102103,ENSMUSG00000031157
ENSG00000102145,ENSMUSG00000031162
ENSG00000015285,ENSMUSG00000031165
ENSG00000147155,ENSMUSG00000031168
ENSG00000036473,ENSMUSG00000031173
ENSG00000155966,ENSMUSG00000031189
ENSG00000079482,ENSMUSG00000031214
ENSG00000090776,ENSMUSG00000031217
ENSG00000122145,ENSMUSG00000031241
ENSG00000102384,ENSMUSG00000031262
ENSG00000010671,ENSMUSG00000031264
ENSG00000123561,ENSMUSG00000031271
ENSG00000068366,ENSMUSG00000031278
ENSG00000077264,ENSMUSG00000031284
ENSG00000077279,ENSMUSG00000031285
ENSG00000008086,ENSMUSG00000031292
ENSG00000102104,ENSMUSG00000031293
ENSG00000044446,ENSMUSG00000031295
ENSG00000131828,ENSMUSG00000031299
ENSG00000131269,ENSMUSG00000031333
ENSG00000169057,ENSMUSG00000031393
ENSG00000130826,ENSMUSG00000031403
ENSG00000123560,ENSMUSG00000031425
ENSG00000057593,ENSMUSG00000031443
ENSG00000126218,ENSMUSG00000031444
ENSG00000102743,ENSMUSG00000031482
ENSG00000038002,ENSMUSG00000031521
ENSG00000029534,ENSMUSG00000031543
ENSG00000077782,ENSMUSG00000031565
ENSG00000147465,ENSMUSG00000031574
ENSG00000104687,ENSMUSG00000031584
ENSG00000104763,ENSMUSG00000031591
ENSG00000151729,ENSMUSG00000031633
ENSG00000164344,ENSMUSG00000031640
ENSG00000088926,ENSMUSG00000031645
ENSG00000103449,ENSMUSG00000031665
ENSG00000087245,ENSMUSG00000031740
ENSG00000125124,ENSMUSG00000031755
ENSG00000070915,ENSMUSG00000031766
ENSG00000105664,ENSMUSG00000031849
ENSG00000176387,ENSMUSG00000031891
ENSG00000087053,ENSMUSG00000031918
ENSG00000020922,ENSMUSG00000031928
ENSG00000143632,ENSMUSG00000031972
ENSG00000116906,ENSMUSG00000031985
ENSG00000110400,ENSMUSG00000032012
ENSG00000109929,ENSMUSG00000032018
ENSG00000075239,ENSMUSG00000032047
ENSG00000109846,ENSMUSG00000032060
ENSG00000150787,ENSMUSG00000032067
ENSG00000118137,ENSMUSG00000032083
ENSG00000130164,ENSMUSG00000032193
ENSG00000069974,ENSMUSG00000032202
ENSG00000128973,ENSMUSG00000032245
ENSG00000149295,ENSMUSG00000032259
ENSG00000118402,ENSMUSG00000032262
ENSG00000083123,ENSMUSG00000032263
ENSG00000137869,ENSMUSG00000032274
ENSG00000140374,ENSMUSG00000032314
ENSG00000140459,ENSMUSG00000032323
ENSG00000001084,ENSMUSG00000032350
ENSG00000140416,ENSMUSG00000032366
ENSG00000090487,ENSMUSG00000032388
ENSG00000163513,ENSMUSG00000032440
ENSG00000160801,ENSMUSG00000032492
ENSG00000076242,ENSMUSG00000032498
ENSG00000114054,ENSMUSG00000032527
ENSG00000011198,ENSMUSG00000032540
ENSG00000091513,ENSMUSG00000032554
ENSG00000170819,ENSMUSG00000032556
ENSG00000114353,ENSMUSG00000032562
ENSG00000017260,ENSMUSG00000032570
ENSG00000145020,ENSMUSG00000032607
ENSG00000162711,ENSMUSG00000032691
ENSG00000145362,ENSMUSG00000032826
ENSG00000008710,ENSMUSG00000032855
ENSG00000170820,ENSMUSG00000032937
ENSG00000100146,ENSMUSG00000033006
ENSG00000152556,ENSMUSG00000033065
ENSG00000100987,ENSMUSG00000033080
ENSG00000130948,ENSMUSG00000033122
ENSG00000125414,ENSMUSG00000033196
ENSG00000128340,ENSMUSG00000033220
ENSG00000102878,ENSMUSG00000033249
ENSG00000168477,ENSMUSG00000033327
ENSG00000162688,ENSMUSG00000033400
ENSG00000127415,ENSMUSG00000033540
ENSG00000160957,ENSMUSG00000033762
ENSG00000135636,ENSMUSG00000033788
ENSG00000165240,ENSMUSG00000033792
ENSG00000171564,ENSMUSG00000033831
ENSG00000134086,ENSMUSG00000033933
ENSG00000147100,ENSMUSG00000033965
ENSG00000144554,ENSMUSG00000034023
ENSG00000136492,ENSMUSG00000034329
ENSG00000140905,ENSMUSG00000034424
ENSG00000118762,ENSMUSG00000034462
ENSG00000124275,ENSMUSG00000034617
ENSG00000141837,ENSMUSG00000034656
ENSG00000005961,ENSMUSG00000034664
ENSG00000138759,ENSMUSG00000034687
ENSG00000135677,ENSMUSG00000034707
ENSG00000114349,ENSMUSG00000034837
ENSG00000006638,ENSMUSG00000034881
ENSG00000116133,ENSMUSG00000034926
ENSG00000167654,ENSMUSG00000034958
ENSG00000157131,ENSMUSG00000035031
ENSG00000126562,ENSMUSG00000035112
ENSG00000104899,ENSMUSG00000035262
ENSG00000004848,ENSMUSG00000035277
ENSG00000102683,ENSMUSG00000035296
ENSG00000101871,ENSMUSG00000035299
ENSG00000129991,ENSMUSG00000035458
ENSG00000120708,ENSMUSG00000035493
ENSG00000141627,ENSMUSG00000035765
ENSG00000122691,ENSMUSG00000035799
ENSG00000100427,ENSMUSG00000035805
ENSG00000010404,ENSMUSG00000035847
ENSG00000111046,ENSMUSG00000035923
ENSG00000112294,ENSMUSG00000035936
ENSG00000064490,ENSMUSG00000036120
ENSG00000133104,ENSMUSG00000036580
ENSG00000133111,ENSMUSG00000036615
ENSG00000103249,ENSMUSG00000036636
ENSG00000094914,ENSMUSG00000036678
ENSG00000083799,ENSMUSG00000036712
ENSG00000102893,ENSMUSG00000036879
ENSG00000159189,ENSMUSG00000036896
ENSG00000173369,ENSMUSG00000036905
ENSG00000155657,ENSMUSG00000036935
ENSG00000156515,ENSMUSG00000037012
ENSG00000166311,ENSMUSG00000037049
ENSG00000170881,ENSMUSG00000037075
ENSG00000180644,ENSMUSG00000037202
ENSG00000157978,ENSMUSG00000037295
ENSG00000138686,ENSMUSG00000037325
ENSG00000106366,ENSMUSG00000037411
ENSG00000167995,ENSMUSG00000037418
ENSG00000112041,ENSMUSG00000037446
ENSG00000132549,ENSMUSG00000037646
ENSG00000129757,ENSMUSG00000037664
ENSG00000109927,ENSMUSG00000037705
ENSG00000151224,ENSMUSG00000037798
ENSG00000122877,ENSMUSG00000037868
ENSG00000106125,ENSMUSG00000038022
ENSG00000074181,ENSMUSG00000038146
ENSG00000113946,ENSMUSG00000038148
ENSG00000005073,ENSMUSG00000038210
ENSG00000167711,ENSMUSG00000038224
ENSG00000125965,ENSMUSG00000038259
ENSG00000133812,ENSMUSG00000038371
